Name,Platform,Publisher,Genre,Metascore,User_Score,Release_Year
Madden NFL 2005,PS2,Electronic Arts,Sports,91.0,7.9,2004.0
Guitar Hero III: Legends of Rock,X360,Activision,Misc,85.0,7.9,2007.0
Madden NFL 07,PS2,Electronic Arts,Sports,84.0,8.2,2006.0
Halo 5: Guardians,XOne,Microsoft Game Studios,Shooter,84.0,6.4,2015.0
Spider-Man: The Movie,PS2,Activision,Action,76.0,7.9,2002.0
Call of Duty: Infinite Warfare,PS4,Activision,Shooter,77.0,3.4,2016.0
God of War,PS2,Sony Computer Entertainment,Action,94.0,8.9,2005.0
Splatoon,WiiU,Nintendo,Shooter,81.0,8.5,2015.0
Nintendo Land,WiiU,Nintendo,Misc,77.0,7.9,2012.0
Tony Hawk's Pro Skater 3,PS2,Activision,Sports,97.0,7.5,2001.0
Winning Eleven: Pro Evolution Soccer 2007,PS2,Konami Digital Entertainment,Sports,86.0,8.9,2006.0
The Elder Scrolls IV: Oblivion,X360,Take-Two Interactive,Role-Playing,94.0,8.7,2006.0
Need for Speed: Most Wanted,PS2,Electronic Arts,Racing,82.0,9.1,2005.0
Michael Jackson: The Experience,Wii,Ubisoft,Misc,56.0,8.3,2010.0
Resistance: Fall of Man,PS3,Sony Computer Entertainment,Shooter,86.0,8.1,2006.0
Kingdom Hearts II,PS2,Square Enix,Role-Playing,87.0,9.0,2005.0
Super Mario 3D World,WiiU,Nintendo,Platform,93.0,9.0,2013.0
Fable II,X360,Microsoft Game Studios,Role-Playing,89.0,6.5,2008.0
Namco Museum,GBA,Namco Bandai Games,Misc,79.0,7.3,2001.0
Batman: Arkham Asylum,PS3,Eidos Interactive,Action,91.0,8.9,2009.0
Metal Gear Solid 3: Snake Eater,PS2,Konami Digital Entertainment,Action,91.0,9.3,2004.0
Assassin's Creed: Revelations,PS3,Ubisoft,Action,80.0,7.5,2011.0
Fallout 4,XOne,Bethesda Softworks,Role-Playing,88.0,6.2,2015.0
FIFA 14,X360,Electronic Arts,Sports,84.0,4.2,2013.0
Daxter,PSP,Sony Computer Entertainment,Platform,85.0,8.7,2006.0
FIFA Soccer 06,PS2,Electronic Arts,Sports,80.0,7.8,2005.0
EyeToy Play,PS2,Sony Computer Entertainment,Misc,80.0,7.5,2003.0
Gran Turismo 5 Prologue,PS3,Sony Computer Entertainment,Racing,80.0,7.1,2007.0
Assassin's Creed: Revelations,X360,Ubisoft,Action,80.0,7.2,2011.0
Street Fighter IV,PS3,Capcom,Fighting,94.0,7.3,2009.0
Madden NFL 2003,PS2,Electronic Arts,Sports,95.0,7.7,2002.0
Half-Life,PC,Vivendi Games,Shooter,96.0,9.1,1997.0
World of Warcraft: The Burning Crusade,PC,Activision,Role-Playing,91.0,7.9,2007.0
Battlefield 1,PS4,Electronic Arts,Shooter,88.0,8.4,2016.0
